md101_sn,create_date,location_id,location_name,send_platform,msg
108394,2021/06/06 11:30:07,136,서울특별시 전체,cbs,[서울시청] 06.06.(일) 00시 기준 서울시 신규 확진자 179명 발생. 자치구별 현황 및 동선 등은 bityl.co/6I7T 참고하시기 바랍니다. ☎120
108334,2021/06/05 15:54:56,139,서울특별시 강북구,cbs,"[강북구청]6.2.(수)18:00~22:00 홍성양꼬치(강북구 도봉로10다길 10, 소독완료)방문자는 강북구보건소에서 검사 바랍니다.☎901-7704"
108311,2021/06/05 11:30:05,136,서울특별시 전체,cbs,[서울시청] 06.05.(토) 00시 기준 서울시 신규 확진자 277명 발생. 자치구별 현황 및 동선 등은 bityl.co/6I7T 참고하시기 바랍니다. ☎120
108260,2021/06/04 19:00:24,142,서울특별시 광진구,cbs,[광진구청] 확진자 발생에 따른 관내 동선 알림. 상호 공개된 장소 홈페이지 확인( han.gl/rvVRk )후 동시간대 이용자는 가까운 보건소에서 검사바랍니다.
108243,2021/06/04 17:31:44,151,서울특별시 서초구,cbs,[서초구청] 5.28(금)~6.4(금) 09:30~16:30 SC제일은행 양재동지점(강남대로 251 해동빌딩1층) 방문자는 코로나19 검사 받으시기 바랍니다.
108201,2021/06/04 11:45:34,157,서울특별시 용산구,cbs,[용산구청] 5.31.~6.3. 용산구 청파동 소재 짱호프타운 방문하신 분은 가까운 선별진료소 방문하여 코로나 검사 받으시기 바랍니다.
108200,2021/06/04 11:30:31,136,서울특별시 전체,cbs,[서울시청] 06.04.(금) 00시 기준 서울시 신규 확진자 206명 발생. 자치구별 현황 및 동선 등은 bityl.co/6I7T 참고하시기 바랍니다. ☎120
108179,2021/06/04 10:09:57,145,서울특별시 노원구,cbs,"[노원구청] 75세 이상 어르신 1차 백신 접종이 다음주 종료되오니, 아직 접종일을 안내 받지 못하였거나 접종을 희망하시는 분은 거주지 동주민센터로 연락주세요."
108151,2021/06/03 18:42:29,142,서울특별시 광진구,cbs,[광진구청]오늘 24시까지 온라인접수 마감. 60~74세 백신접종 예약 han.gl/rvVRk 02-450-7400. 백신접종으로 가족건강을 지켜냅시다.
108113,2021/06/03 15:39:07,152,서울특별시 성동구,cbs,"[성동구청] 60~74세 구민 백신접종 예약 마감/오늘 24시까지 ncvr.kdca.go.kr 신청/18시까지 콜센터 02-2286-7960, 주민센터방문 신청"
108097,2021/06/03 13:44:14,161,서울특별시 중랑구,cbs,[중랑구청] 60~74세 어르신 백신접종 사전예약이 6.3.(목) 오늘 종료됩니다. 서둘러 예약을 부탁드립니다. (예약 홈페이지 ncvr.kdca.go.kr)
108096,2021/06/03 13:44:03,159,서울특별시 종로구,cbs,[종로구청]60~74세(47~61년생) 백신예약 마지막날입니다. ① ncvr.kdca.go.kr ②종로구 02-2148-2060 ③동주민센터방문 가족대리예약가능
108093,2021/06/03 13:26:18,139,서울특별시 강북구,cbs,[강북구청]60~74세 코로나19 예방접종 사전예약 오늘 마감(6월3일까지). ncvr.kdca.go.kr 링크를 눌러 신청해주세요. 가족 대리예약도 가능합니다.
108085,2021/06/03 11:30:22,148,서울특별시 동작구,cbs,"[동작구청]5.24(월)~5.31(월)역전할머니맥주 노량진점(동작구 만양로104,1층,노량진1동) 방문하신분은 가까운 선별진료소에서 진단검사를 받으시기 바랍니다."
108084,2021/06/03 11:30:05,136,서울특별시 전체,cbs,[서울시청] 06.03.(목) 00시 기준 서울시 신규 확진자 215명 발생. 자치구별 현황 및 동선 등은 bityl.co/6I7T 참고하시기 바랍니다. ☎120
108061,2021/06/03 10:38:59,144,서울특별시 금천구,cbs,"[금천구청]60~74세 코로나19 예방접종 예약 마지막 날입니다.(대리신청 가능), 온라인 ncvr.kdca.go.kr, 전화 ☎02-2627-2401~3"
108055,2021/06/03 10:27:05,148,서울특별시 동작구,cbs,"[동작구청]60~74세(47~61년생)코로나19접종 사전예약 오늘(6.3, 목요일)까지입니다. ncvr.kdca.go.kr, 02-820-1920~29/80~89"
108033,2021/06/03 09:59:08,160,서울특별시 중구,cbs,[중구청] 60~74세 백신접종 예약안내(오늘 예약마감). 온라인 ncvr.kdca.go.kr / 중구콜센터 02-3396-8050 / 주민센터방문(신분증지참)
108030,2021/06/03 09:51:21,143,서울특별시 구로구,cbs,"[구로구청]60~74세 코로나19 예방접종 예약 마지막날이오니 신청바랍니다(대리신청가능), 인터넷(ncvr.kdca.go.kr), 전화(02-853-3072~6)"
108027,2021/06/03 09:38:12,157,서울특별시 용산구,cbs,[용산구청]60~74세 백신접종예약/오늘예약마감/ 접종자 인센티브제공/온라인 ncvr.kdca.go.kr /콜센터 0221996010/ 주민센터방문(신분증지참)
108019,2021/06/03 09:23:01,142,서울특별시 광진구,cbs,[광진구청]오늘 마감(6.3.) 60~74세 백신접종 예약 han.gl/rvVRk 02-450-7400 백신접종자는 공공시설 이용 가능 등 인센티브 부여
108008,2021/06/03 09:00:06,145,서울특별시 노원구,cbs,[노원구청] 오늘(6.3.목) 60~74세 코로나 백신접종사전예약 종료 인터넷 ncvr.kdca.go.kr (대리예약가능) 전화 02-2116-2280 신청하세요
107994,2021/06/02 19:57:31,142,서울특별시 광진구,cbs,"[광진구청]백신접종자는 공공시설 프로그램 이용이 가능합니다.60~74세 백신접종예약 han.gl/rvVRk 02-450-7400, 백신접종으로 일상을 되찾읍시다."
107958,2021/06/02 16:00:33,153,서울특별시 성북구,cbs,[성북구청] 60~74세 코로나19 예방접종 예약안내 (6.3.마감) ① ncvr.kdca.go.kr ②☎1577-3364 ③주민센터 방문(신분증지참)
107939,2021/06/02 14:19:01,138,서울특별시 강동구,cbs,"[강동구청]5/14~5/30 길동우동집(구천면로 198, 천호동) 방문자는 가까운 선별진료소에서 검사 받으시기 바랍니다.(02-3425-6713)"
107938,2021/06/02 14:17:58,138,서울특별시 강동구,cbs,"[강동구청]5/14~5/29 만화보이[천호대로157길 38, 3층(천호동)] 방문자는 가까운 선별진료소에서 검사 받으시기 바랍니다.(02-3425-6713)"
107931,2021/06/02 14:07:31,139,서울특별시 강북구,cbs,[강북구청]60~74세 어르신 코로나19예방접종 사전예약종료1일전(6월3일까지). ncvr.kdca.go.kr 링크를 눌러 신청해주세요.가족 대리예약도 가능합니다
107928,2021/06/02 14:02:21,161,서울특별시 중랑구,cbs,[중랑구청] 6.3.(목) 보건소 선별진료소를 09:00 ~ 13:00까지만 운영합니다. 더욱 안전한 검진을 위해 시설물을 보강하오니 양해하여 주시기 바랍니다.
107921,2021/06/02 13:33:03,150,서울특별시 서대문구,cbs,[서대문구청]만60~74세(47~61년생) 코로나19 백신예약 6.3.마감. 가족대리예약가능. 온라인 ncvr.kdca.go.kr☎1339☎02-330-6703
107917,2021/06/02 13:25:49,159,서울특별시 종로구,cbs,[종로구청]60~74세 코로나19 예방접종 예약안내(6.3.마감) ① ncvr.kdca.go.kr ②종로구02-2148-2060 ③동주민센터방문 가족대리예약 가능
107913,2021/06/02 13:04:35,152,서울특별시 성동구,cbs,[성동구청]60~74세구민 백신접종 예약 73.6%/6월3일까지 예약 마감/신청: 온라인 ncvr.kdca.go.kr /콜센터:02-2286-7960/주민센터방문
107912,2021/06/02 12:12:30,149,서울특별시 마포구,cbs,[마포구청]만60~74세 백신접종예약 6.3. 마감 콜센터 02-3153-8040 온라인예약 http://ncvr.kdca.go.kr 주민센터방문시(신분증지참)
107907,2021/06/02 11:30:10,136,서울특별시 전체,cbs,[서울시청] 06.02.(수) 00시 기준 서울시 신규 확진자 258명 발생. 자치구별 현황 및 동선 등은 bityl.co/6I7T 참고하시기 바랍니다. ☎120
107906,2021/06/02 11:26:10,148,서울특별시 동작구,cbs,"[동작구청]60~74세(47~61년생)코로나19접종 사전예약 내일(6.3, 목요일)까지입니다. ncvr.kdca.go.kr, 02-820-1920~29/80~89"
107896,2021/06/02 11:03:46,161,서울특별시 중랑구,cbs,[중랑구청] 60~74세 어르신 백신접종 사전예약 기간이 6.3.(목) 내일까지입니다. 서둘러 예약을 부탁드립니다. (예약 홈페이지 ncvr.kdca.go.kr)
107894,2021/06/02 11:03:24,154,서울특별시 송파구,cbs,"[송파구청]60~74세 대상 예방접종 내일마감. 접종자에게 인센티브 부여 url.kr/bvj81x 예약:02-2147-5150, ncvr.kdca.go.kr"
107873,2021/06/02 10:01:46,160,서울특별시 중구,cbs,[중구청] 60~74세 백신접종 예약안내(6.3.마감). 온라인: ncvr.kdca.go.kr / 중구콜센터: 02-3396-8050 / 주민센터방문(신분증지참)
107864,2021/06/02 09:32:48,157,서울특별시 용산구,cbs,[용산구청]60~74세 백신접종예약 6.3.마감/접종자 인센티브제공/온라인 ncvr.kdca.go.kr / 콜센터02-2199-6010/ 주민센터방문(신분증지참)
